,Sport,Discipline
1,Aquatics,Diving
2,Aquatics,Swimming
3,Aquatics,Water polo
4,Archery,Archery
5,Athletics,Athletics
6,Basketball,Basketball
7,Boxing,Boxing
8,Canoe / Kayak,Canoe / Kayak F
9,Cycling,Cycling Road
10,Cycling,Cycling Track
11,Equestrian,Dressage
12,Equestrian,Eventing
13,Equestrian,Jumping
14,Fencing,Fencing
15,Football,Football
16,Gymnastics,Artistic G.
17,Handball,Handball
18,Hockey,Hockey
19,Judo,Judo
20,Modern Pentathlon,Modern Pentath.
21,Rowing,Rowing
22,Sailing,Sailing
23,Shooting,Shooting
24,Volleyball,Volleyball
25,Weightlifting,Weightlifting
26,Wrestling,Wrestling Free.
27,Wrestling,Wrestling Gre-R
28,Aquatics,Synchronized S.
29,Gymnastics,Rhythmic G.
30,Table Tennis,Table Tennis
31,Tennis,Tennis
32,Badminton,Badminton
33,Baseball,Baseball
34,Canoe / Kayak,Canoe / Kayak S
35,Cycling,Mountain Bike
36,Softball,Softball
37,Volleyball,Beach volley.
38,Gymnastics,Trampoline
39,Taekwondo,Taekwondo
40,Triathlon,Triathlon
41,Cycling,BMX
42,Gymnastics,Artistic Gymnastics
43,Karate,Karate
44,Wrestling,Wrestling
45,Gymnastics,Rhythmic Gymnastics
46,Baseballl,Baseball/Softball
47,Swimming,Artistic Swimming
48,Volleyball,Beach Volleyball
49,Gymnastics,Trampoline Gymnastics
50,Swimming,Marathon Swimming
51,Canoe / Kayak,Canoe Slalom
52,Surfing,Surfing
53,Canoe / Kayak,Canoe Sprint
54,Cycling,Cycling BMX Racing
55,Rugby,Rugby Sevens
56,Equestrian,Equestrian
57,Golf,Golf
58,Skateboarding,Skateboarding
59,Modern Pentathlon,Modern Pentathlon
60,Cycling,Cycling Mountain Bike
61,Basketball,3x3 Basketball
62,Cycling,Cycling BMX Freestyle
63,Sport Climbing,Sport Climbing
64,Gymnastics,Gymnastics
65,Skiing,Cross-country skiing
66,Skiing,Biathlon
67,Canoe / Kayak,Canoeing
68,Cycling,Cycling
69,Swimming,Synchronized swimming
70,Speed Skating,Short track speed skating
71,Speed Skating,Speed skating
72,Skiing,Alpine skiing
73,Bobsleigh,Bobsleigh
74,Ice Hockey,Ice hockey
75,Ski Jumping,Ski jumping
76,Luge,Luge
